TNAM #;Marker Name;Image;Province;Type;Art Complete;Merged to hudmenu and mapMarkerArt SWFs;Non-Custom Marker Name;Merged to CoMAP Resource File;CoMAP File;CoMAP Shape#;CoMAP iconName;Scale
0;None;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;000;BS000;1
1;City;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;001;BS001;1,333333
2;Town;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;002;BS002;1,333333
3;Settlement;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;003;BS003;0,666666
4;Cave;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;004;BS004;0,666666
5;Camp;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;005;BS005;0,666666
6;Fort;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;006;BS006;1
7;Nordic Ruins;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;007;BS007;1
8;Dwemer Ruin;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;008;BS008;1
9;Shipwreck;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;009;BS009;1
10;Grove;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;010;BS010;0,666666
11;Landmark;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;011;BS011;1
12;Dragon Lair;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;012;BS012;1
13;Farm;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;013;BS013;0,666666
14;Wood Mill;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;014;BS014;0,666666
15;Mine;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;015;BS015;0,666666
16;Imperial Camp;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;016;BS016;1
17;Stormcloak Camp;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;017;BS017;1
18;Doomstone;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;018;BS018;1
19;Wheat Mill;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;019;BS019;0,666666
20;Smelter;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;020;BS020;0,666666
21;Stable;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;021;BS021;0,666666
22;Imperial Tower;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;022;BS022;1
23;Clearing;;Skyrim;;TRUE;TRUE;N/A;N/A;N/A;023;BS023;0,666666
